timestamp_ms,mid_price,spread_ticks,order_latency_ms,fill_ratio,imbalance,micro_vol,pnl_ticks,err_inc,cause,mu_norm,sg_norm,success_window_ms,recovered_within_target,gateway_primary_latency_ms,gateway_secondary_latency_ms,queue_depth_primary,queue_depth_secondary,active_primary
0,4050.04,2.47,20.98,0.498,0.284,1.552,-0.542,2,150,3.497,1.294,328,0,27.61,10.47,18.11,6.93,0
100,4049.7,1.54,19.57,0.245,-0.319,1.206,-0.297,1,6,3.261,1.005,166,0,27.43,10.31,10.18,12.37,0
200,4049.52,3.26,22.87,0.581,0.156,0.89,-0.439,1,130,3.812,0.741,210,1,30.87,12.48,25.91,13.2,0
300,4049.57,1.04,20.6,0.563,-0.075,0.82,-0.401,2,22,3.434,0.684,278,0,29.94,9.35,12.61,19.64,0
400,4050.06,2.39,20.24,0.401,-0.364,1.241,-0.317,2,2,3.373,1.034,466,0,27.26,8.4,26.5,8.62,0
500,4050.02,2.15,20.4,0.329,0.262,1.073,-0.59,2,146,3.4,0.894,446,0,26.88,7.65,4.7,19.97,0
600,4050.36,1.72,22.56,0.52,0.509,1.184,-0.475,2,22,3.761,0.986,253,0,29.73,8.68,9.26,11.23,0
700,4050.29,2.41,13.36,0.501,-0.029,1.486,0.037,1,134,2.226,1.238,339,0,21.38,6.86,21.68,19.58,0
800,4050.35,1.91,10.28,0.654,0.024,1.437,-0.18,2,18,1.713,1.198,219,1,12.3,3.13,14.51,13.99,0
900,4050.66,2.29,19.73,0.066,0.465,0.602,-0.675,0,6,3.288,0.502,259,1,25.08,10.53,14.07,11.79,0
1000,4050.92,2.2,18.97,0.442,0.108,0.984,0.006,2,6,3.162,0.82,120,1,24.43,5.05,17.14,20.29,0
1100,4051.14,1.63,12.36,0.2,-0.681,1.308,-0.272,0,128,2.061,1.09,385,1,13.95,9.24,11.66,18.83,0
1200,4051.08,2.21,17.26,0.636,0.25,0.43,-0.178,2,134,2.876,0.358,259,0,23.59,6.76,13.86,17.16,0
1300,4050.85,1.54,23.1,0.424,-0.439,0.672,-0.475,2,130,3.85,0.56,403,0,32.35,11.87,8.55,17.28,0
1400,4050.82,2.69,18.3,0.598,0.207,0.688,-0.203,3,4,3.051,0.573,251,0,25.17,8.57,13.22,9.52,0
1500,4050.68,1.58,23.56,0.271,-0.781,1.039,0.077,2,150,3.927,0.866,350,0,32.63,11.77,19.29,16.65,0
1600,4050.62,2.4,16.19,0.386,-0.423,0.911,-0.162,2,150,2.698,0.759,217,0,19.69,7.94,14.21,11.84,0
1700,4050.46,1.65,12.92,0.764,-0.59,1.642,0.026,3,150,2.153,1.368,260,1,17.58,6.31,17.84,21.45,0
1800,4050.81,2.88,21.24,0.709,-0.145,0.678,-0.357,2,150,3.54,0.565,338,0,29.02,9.58,18.44,22.68,0
1900,4050.63,2.25,16.71,0.473,-0.294,0.611,-0.194,2,134,2.786,0.509,206,0,19.11,6.65,16.3,16.56,0
2000,4050.45,2.51,18.24,0.277,-0.062,1.416,-0.304,0,150,3.04,1.18,437,0,23.16,8.05,19.81,9.13,0
2100,4050.74,2.06,17.39,0.313,-0.052,1.153,-0.232,4,22,2.899,0.961,231,0,24.04,6.5,16.66,8.98,0
2200,4050.74,2.6,16.46,0.335,-0.125,1.401,-0.646,1,130,2.743,1.168,426,0,22.93,5.37,22.93,12.67,0
2300,4050.35,2.17,19.64,0.632,-0.05,0.548,-0.355,2,2,3.273,0.457,266,0,24.91,11.16,14.63,14.05,0
2400,4050.74,2.18,14.26,0.468,-0.076,1.48,-0.435,1,22,2.377,1.234,339,0,18.26,10.62,14.86,16.05,0
2500,4050.57,1.6,13.89,0.309,0.079,1.069,-0.272,1,2,2.316,0.891,418,0,18.14,7.09,16.66,13.13,0
2600,4050.53,2.43,13.31,0.56,0.051,1.439,-0.318,3,18,2.219,1.199,285,0,15.4,7.4,16.49,15.5,0
2700,4050.54,2.14,20.97,0.509,-0.119,1.006,0.166,2,18,3.495,0.838,230,0,27.09,10.15,11.91,13.26,0
2800,4050.39,1.56,20.25,0.473,0.161,2.085,-0.583,1,130,3.375,1.738,298,0,27.28,6.65,18.96,10.62,0
2900,4050.5,2.0,16.2,0.45,-0.063,1.812,-0.154,3,18,2.701,1.51,389,0,23.05,6.16,11.14,18.19,0
3000,4050.39,1.47,20.59,0.461,-0.681,0.691,0.003,3,18,3.432,0.576,222,0,27.13,8.01,15.57,20.25,0
3100,4050.38,2.35,27.29,0.434,0.614,0.093,-0.738,2,146,4.548,0.078,240,0,35.44,11.4,19.36,9.43,0
3200,4050.53,2.13,17.2,0.728,0.441,1.564,-0.207,3,134,2.866,1.303,297,1,22.81,10.34,14.91,8.73,0
3300,4050.21,1.96,12.62,0.579,-0.532,0.991,-0.623,1,2,2.103,0.826,341,1,15.84,4.27,12.86,9.09,0
3400,4050.09,0.76,23.85,0.639,0.346,1.663,-0.083,1,22,3.974,1.386,415,1,31.9,11.02,17.66,20.64,0
3500,4050.13,2.6,17.51,0.401,-0.266,1.692,-0.702,1,22,2.919,1.41,120,0,22.44,10.86,8.87,9.58,0
3600,4050.44,2.57,16.18,0.326,0.33,0.272,-0.337,2,18,2.696,0.226,368,0,23.44,8.28,14.11,13.67,0
3700,4050.38,1.43,17.43,0.0,0.203,0.951,-0.945,2,18,2.905,0.793,463,0,24.34,8.19,23.53,15.52,0
3800,4050.55,1.7,26.23,0.391,-0.097,0.481,-0.324,3,150,4.372,0.401,396,0,37.31,9.19,17.71,21.6,0
3900,4050.68,1.93,12.02,0.197,-0.763,0.812,-0.579,2,146,2.004,0.676,367,1,16.97,4.19,16.96,24.48,0
4000,4050.82,2.77,21.55,0.235,-0.528,1.629,-0.105,1,4,3.592,1.358,363,0,29.95,8.8,12.95,16.48,0
4100,4050.58,1.79,18.21,0.263,0.098,0.129,-0.441,0,128,3.034,0.107,259,0,24.2,4.47,12.35,17.01,0
4200,4050.78,1.07,17.56,0.457,-0.262,0.671,-0.1,1,148,2.927,0.559,301,0,22.85,10.0,13.62,10.53,0
4300,4050.68,2.54,21.04,0.553,-0.328,1.401,-0.47,2,6,3.507,1.167,352,0,26.98,12.73,10.26,8.81,0
4400,4050.72,1.4,16.84,0.464,-0.559,2.461,-0.242,4,18,2.807,2.051,309,0,25.76,5.21,14.88,14.86,0
4500,4050.37,2.21,18.71,0.594,-0.237,0.87,-0.348,0,18,3.119,0.725,254,0,24.95,8.23,18.85,19.59,0
4600,4050.28,2.72,20.47,0.253,0.437,0.731,-0.633,2,146,3.411,0.609,203,0,27.71,7.54,15.57,6.38,0
4700,4049.97,2.78,17.64,0.348,1.0,1.739,-0.285,3,130,2.941,1.449,268,0,22.06,6.27,15.93,16.19,0
4800,4050.2,1.97,20.46,0.287,0.291,0.729,-0.296,2,2,3.41,0.608,247,0,24.69,10.2,17.91,9.51,0
4900,4050.37,2.5,17.43,0.515,0.571,0.855,-0.777,3,2,2.905,0.712,206,0,24.01,8.55,10.93,14.43,0
5000,4050.62,2.08,21.41,0.4,0.357,1.458,-0.609,1,4,3.569,1.215,234,1,29.07,8.32,13.88,15.65,0
5100,4050.59,1.88,15.46,0.085,-0.612,0.935,-0.355,2,18,2.576,0.779,422,1,19.45,7.68,16.67,10.21,0
5200,4050.62,1.79,18.16,0.465,0.395,1.792,-0.738,2,18,3.027,1.494,225,0,21.53,6.06,15.16,16.86,0
5300,4050.55,2.39,17.86,0.456,0.125,1.079,-0.432,1,150,2.977,0.899,336,0,23.81,9.35,15.1,14.37,0
5400,4050.55,2.41,17.55,0.346,0.506,0.403,-0.533,3,134,2.925,0.336,140,1,24.66,9.3,17.8,19.07,0
5500,4050.44,2.5,18.42,0.462,0.074,0.212,-0.138,2,150,3.071,0.177,229,0,22.94,7.17,16.25,7.19,0
5600,4050.17,1.78,18.55,0.314,0.728,1.309,-0.236,3,18,3.092,1.091,221,0,24.78,8.6,17.92,21.44,0
5700,4050.13,2.71,14.6,0.539,-0.343,1.156,0.083,1,146,2.433,0.963,120,0,19.35,6.97,4.05,11.84,0
5800,4050.2,2.12,17.9,0.361,0.382,0.991,-0.089,2,2,2.983,0.826,243,0,22.65,9.8,12.42,16.06,0
5900,4050.48,2.22,19.6,0.33,-0.158,1.134,0.172,3,6,3.266,0.945,120,0,24.62,11.9,20.34,11.94,0
6000,4050.56,1.27,15.54,0.666,0.178,1.196,-0.446,2,22,2.589,0.997,348,0,23.45,7.82,13.1,14.61,0
6100,4050.35,2.51,15.95,0.366,0.121,0.849,-0.063,1,150,2.658,0.708,289,1,21.36,8.47,16.2,20.46,0
6200,4050.48,2.81,15.92,0.363,-0.943,1.822,-0.203,2,20,2.653,1.519,175,0,21.84,6.28,15.33,12.54,0
6300,4050.78,2.19,18.66,0.284,-0.296,1.474,-0.299,0,6,3.11,1.228,266,1,25.37,7.31,12.06,7.29,0
6400,4050.78,1.43,14.13,0.27,-0.272,1.15,0.018,2,2,2.355,0.958,197,1,19.96,5.62,18.6,11.56,0
6500,4051.01,1.91,21.95,0.201,-0.064,1.295,-0.687,2,2,3.658,1.079,384,0,30.43,9.73,12.97,13.3,0
6600,4050.78,2.17,19.77,0.263,0.097,1.494,-0.549,2,22,3.295,1.245,176,0,29.11,9.15,13.33,8.5,0
6700,4050.79,2.83,18.65,0.433,-0.414,0.643,-0.584,2,6,3.108,0.536,225,1,24.37,6.0,18.1,20.87,0
6800,4050.66,2.37,19.53,0.123,-0.625,1.059,0.123,0,132,3.255,0.882,326,1,26.47,8.39,14.12,18.7,0
6900,4050.61,1.69,9.62,0.666,0.096,1.369,-0.33,1,144,1.604,1.141,330,0,14.35,3.92,16.38,20.57,0
7000,4050.45,1.61,17.21,0.511,0.24,1.367,-0.552,2,6,2.868,1.139,329,1,21.01,5.26,18.03,18.05,0
7100,4050.54,2.84,20.81,0.428,-0.115,0.967,-0.332,2,146,3.468,0.806,314,0,26.69,8.05,13.19,23.06,0
7200,4050.37,2.11,20.31,0.656,-0.002,1.068,-0.235,3,22,3.384,0.89,368,0,28.76,8.33,12.96,10.91,0
7300,4050.35,1.84,16.13,0.582,-0.208,1.261,-0.401,4,146,2.688,1.051,240,1,22.59,2.5,15.21,14.01,0
7400,4050.61,1.93,20.78,0.428,0.393,1.316,-0.173,2,6,3.463,1.096,178,0,28.56,7.22,14.14,10.62,0
7500,4050.41,2.14,19.63,0.311,-0.375,0.805,-0.551,2,18,3.272,0.671,327,0,27.97,9.9,12.65,10.14,0
7600,4050.72,1.35,17.06,0.347,0.21,0.408,-0.54,3,150,2.843,0.34,352,0,22.1,9.41,15.79,9.24,0
7700,4050.69,2.53,18.89,0.438,-0.226,1.286,-0.327,1,150,3.148,1.072,211,0,24.67,7.06,13.36,10.38,0
7800,4050.55,2.1,18.06,0.616,0.289,1.586,-0.254,3,2,3.01,1.322,120,0,23.19,9.53,24.14,20.07,0
7900,4050.71,2.27,21.4,0.412,0.751,2.084,-0.663,2,134,3.567,1.737,207,0,28.39,9.92,16.46,6.37,0
8000,4050.72,2.3,23.62,0.241,-0.043,0.869,-0.278,2,4,3.937,0.724,282,0,31.03,9.13,12.52,17.66,0
8100,4050.96,1.67,15.05,0.344,0.562,0.945,-0.418,3,4,2.509,0.788,248,0,21.12,7.19,26.72,17.69,0
8200,4050.95,1.78,20.48,0.319,-0.187,1.253,-0.024,2,150,3.413,1.045,284,0,25.73,9.01,13.69,18.02,0
8300,4050.86,2.06,18.63,0.455,-0.066,0.873,-0.37,3,150,3.105,0.727,316,0,25.41,8.0,13.35,9.21,0
8400,4051.03,2.25,18.13,0.35,-0.234,1.192,-0.188,1,6,3.021,0.993,313,0,26.46,6.79,18.13,15.2,0
8500,4051.09,1.61,18.39,0.054,-0.065,0.951,-0.397,4,20,3.065,0.792,220,0,25.86,7.13,13.13,14.24,0
8600,4050.81,3.05,23.38,0.431,0.141,0.429,0.257,2,22,3.897,0.358,243,1,33.04,10.51,18.72,17.18,0
8700,4051.04,2.73,15.05,0.677,-0.342,0.542,-0.482,1,22,2.508,0.451,317,0,21.68,5.94,13.09,11.24,0
8800,4050.8,2.73,16.81,0.373,0.391,0.932,-0.347,2,20,2.802,0.777,513,1,22.34,6.69,16.1,12.6,0
8900,4050.83,2.18,22.65,0.38,0.065,1.207,-0.768,2,128,3.775,1.006,145,0,33.2,12.46,6.41,20.16,0
9000,4050.93,2.22,19.5,0.177,0.55,1.582,-0.467,2,22,3.25,1.319,275,0,24.22,7.94,15.42,8.45,0
9100,4050.76,1.83,14.45,0.456,-0.037,1.717,-0.41,2,22,2.409,1.43,260,0,17.76,5.22,20.76,11.86,0
9200,4050.86,2.61,17.56,0.498,0.335,1.311,0.084,2,2,2.927,1.093,243,1,24.86,5.88,17.64,14.37,0
9300,4050.78,2.32,16.59,0.689,0.029,1.823,-0.551,2,2,2.765,1.519,244,0,22.7,8.47,15.78,11.01,0
9400,4050.67,1.84,18.96,0.461,0.032,1.235,-0.253,1,150,3.16,1.03,373,0,27.05,7.6,17.6,19.95,0
9500,4050.83,1.81,15.93,0.795,0.369,1.394,0.012,2,22,2.655,1.162,164,0,21.78,6.52,15.33,10.65,0
9600,4050.56,1.65,14.69,0.273,-0.175,0.391,-0.008,2,2,2.449,0.326,223,1,19.22,5.45,19.34,21.02,0
9700,4050.43,2.78,13.35,0.554,0.125,0.144,-0.369,1,4,2.225,0.12,269,1,18.85,6.28,17.3,16.03,0
9800,4050.42,1.29,17.59,0.125,0.381,1.395,-0.317,0,22,2.931,1.163,181,0,22.85,8.95,19.24,17.55,0
9900,4050.72,2.05,18.24,0.51,0.163,1.158,-0.334,2,22,3.041,0.965,388,0,24.28,10.78,9.86,12.1,0
10000,4050.41,2.0,17.9,0.572,0.277,1.87,-0.167,2,150,2.983,1.558,284,1,22.96,7.5,15.08,14.4,0
10100,4050.38,2.33,20.79,0.168,-0.127,0.923,-0.665,2,2,3.465,0.769,152,1,27.64,12.07,19.18,13.47,0
10200,4050.25,1.78,14.84,0.545,-0.302,1.341,0.033,1,130,2.473,1.118,258,0,19.57,6.31,20.53,12.31,0
10300,4050.1,2.31,18.43,0.0,0.432,1.253,-0.25,1,146,3.072,1.044,236,0,24.95,8.36,15.14,12.56,0
10400,4050.11,2.08,20.06,0.348,0.075,1.217,-0.434,3,2,3.343,1.014,192,0,27.97,7.26,17.09,13.78,0
10500,4050.32,1.71,27.73,0.0,0.23,1.167,0.171,2,18,4.622,0.972,289,1,36.17,11.21,13.71,15.18,0
10600,4050.19,1.92,15.93,0.5,0.262,0.724,-0.09,3,128,2.654,0.604,444,0,22.69,6.88,13.77,11.21,0
10700,4049.94,2.69,14.88,0.506,-0.08,0.606,-0.201,1,132,2.48,0.505,170,1,21.45,6.14,8.43,9.43,0
10800,4050.16,2.18,19.91,0.0,-0.496,1.61,-0.096,1,146,3.319,1.341,120,1,27.39,10.41,14.88,17.01,0
10900,4050.6,1.68,19.42,0.335,0.417,1.174,-0.378,2,2,3.237,0.978,265,0,27.76,10.85,15.4,14.63,0
11000,4050.43,2.35,20.35,0.133,0.426,1.331,-0.74,2,18,3.392,1.109,286,0,27.53,8.9,16.9,8.13,0
11100,4050.81,2.35,19.54,0.117,0.458,1.033,-0.449,2,20,3.257,0.861,411,0,25.59,8.98,16.91,14.52,0
11200,4051.05,2.63,19.0,0.367,0.435,0.054,0.493,2,20,3.166,0.045,120,0,25.96,7.7,13.04,7.23,0
