timestamp_ms,mid_price,spread_ticks,order_latency_ms,fill_ratio,imbalance,micro_vol,pnl_ticks,err_inc,cause,mu_norm,sg_norm,success_window_ms,recovered_within_target,gateway_primary_latency_ms,gateway_secondary_latency_ms,queue_depth_primary,queue_depth_secondary,active_primary
0,4049.88,2.64,10.24,0.29,-0.932,2.622,-0.473,2,32,2.172,2.185,219,0,12.87,5.3,13.94,19.6,0
100,4050.03,1.97,7.89,0.3,-0.796,3.199,-0.854,3,162,1.713,2.666,157,1,10.59,6.34,20.44,12.06,0
200,4049.65,4.04,10.83,0.266,-0.905,3.005,-0.119,2,34,2.257,2.504,132,0,13.48,7.76,21.93,11.93,0
300,4049.69,3.82,8.17,0.263,-0.746,0.795,-0.389,1,32,1.735,0.662,289,0,10.08,6.43,16.19,16.55,0
400,4049.55,2.85,12.92,0.261,-0.756,2.85,-0.64,1,34,2.531,2.375,306,0,14.96,7.01,17.4,9.27,0
500,4049.5,3.27,16.66,0.285,-0.205,3.516,-0.68,1,162,2.879,2.93,329,1,21.96,11.83,19.19,6.88,0
600,4049.95,5.0,9.56,0.175,-0.843,2.163,0.031,1,34,2.014,1.802,336,0,12.79,4.66,16.91,17.17,0
700,4050.06,3.27,18.58,0.326,-0.71,3.922,-0.14,1,160,3.452,3.268,292,0,22.82,8.91,11.78,6.44,0
800,4050.02,3.91,11.73,0.403,-0.221,2.518,-0.903,2,2,2.065,2.098,318,0,14.05,5.19,11.89,12.38,0
900,4049.71,2.43,12.7,0.15,-0.327,2.439,-1.314,2,162,2.281,2.032,331,0,15.71,5.92,16.16,16.38,0
1000,4049.74,3.81,15.23,0.366,-0.408,2.713,-0.689,1,32,2.743,2.261,211,0,19.73,7.25,20.84,18.5,0
1100,4049.79,3.14,10.21,0.357,-0.701,3.464,-0.619,1,32,2.053,2.887,202,0,13.83,9.51,15.32,12.14,0
1200,4049.56,5.82,11.18,0.236,-0.356,3.38,-0.218,2,34,2.041,2.817,176,0,13.77,6.72,12.35,13.42,0
1300,4049.27,2.89,7.36,0.42,-0.24,1.767,-0.784,2,34,1.348,1.473,478,0,10.08,2.5,8.47,12.45,0
1400,4049.4,4.26,8.82,0.422,-0.429,2.873,-0.825,1,34,1.683,2.394,299,0,12.0,2.5,16.46,4.53,0
1500,4049.53,3.12,14.31,0.277,-0.824,1.731,-0.695,1,2,2.797,1.443,310,1,19.14,10.3,14.41,14.77,0
1600,4049.41,3.83,12.98,0.208,-0.273,3.99,-1.123,1,2,2.3,3.325,277,0,15.71,9.26,16.7,12.17,0
1700,4049.61,3.87,16.2,0.245,-0.622,3.673,-0.698,0,162,3.012,3.061,309,0,21.7,9.03,13.45,13.41,0
1800,4049.81,2.84,14.82,0.155,0.074,3.115,-0.306,2,34,2.507,2.596,429,1,16.77,10.33,13.61,10.44,0
1900,4050.0,3.9,16.83,0.222,-0.319,3.311,-0.857,1,32,2.964,2.759,151,0,20.67,10.01,12.9,18.0,0
2000,4050.14,2.4,13.15,0.23,-0.173,3.821,-0.805,1,34,2.278,3.184,305,0,17.65,7.91,15.23,10.41,0
2100,4049.93,3.0,8.48,0.299,-0.65,2.821,-1.72,2,32,1.738,2.351,326,0,9.35,4.75,12.02,16.89,0
2200,4049.9,2.55,15.02,0.434,-0.516,4.499,-1.219,1,32,2.762,3.749,186,0,17.54,9.05,13.53,15.41,0
2300,4049.99,2.06,11.9,0.345,-0.287,2.003,-0.726,1,34,2.127,1.669,371,0,14.81,5.68,24.27,12.61,0
2400,4049.89,4.39,11.11,0.11,-0.798,3.68,-0.003,0,32,2.25,3.067,225,1,13.89,3.11,17.65,16.62,0
2500,4049.9,5.25,11.62,0.209,-0.701,2.641,-0.766,1,34,2.287,2.201,183,0,15.32,5.32,12.33,18.04,0
2600,4049.85,3.05,8.85,0.267,-0.455,2.318,-0.555,1,34,1.702,1.932,363,0,10.59,6.55,19.4,11.01,0
2700,4049.95,2.75,13.68,0.327,-0.61,2.122,-0.73,1,34,2.585,1.768,170,0,16.12,5.14,15.44,12.21,0
2800,4050.18,4.19,12.13,0.308,-0.361,1.764,-1.486,2,32,2.202,1.47,324,1,15.78,7.0,21.81,11.79,0
2900,4049.98,2.36,8.85,0.237,-0.494,3.749,-0.703,1,34,1.723,3.124,250,0,10.53,8.24,18.22,19.38,0
3000,4049.98,3.92,13.46,0.43,-0.185,2.512,-1.063,1,34,2.336,2.093,326,0,16.8,6.86,17.86,6.38,0
3100,4049.76,3.77,9.67,0.283,-0.391,2.539,-0.19,1,34,1.808,2.116,279,1,12.48,4.99,22.92,13.29,0
3200,4049.59,3.19,10.32,0.428,-0.58,3.751,-0.558,1,162,2.009,3.126,249,0,11.89,6.4,11.11,12.74,0
3300,4049.51,3.34,14.68,0.173,-0.225,2.759,-0.231,2,32,2.559,2.299,447,0,17.28,5.94,14.07,18.53,0
3400,4049.63,3.23,9.28,0.174,0.077,2.86,-0.603,3,162,1.586,2.383,208,0,9.84,2.55,19.16,17.21,0
3500,4049.66,4.1,12.34,0.022,-0.338,2.795,-0.149,1,34,2.226,2.329,413,0,15.12,7.76,20.83,18.89,0
3600,4049.39,4.83,12.54,0.366,-0.465,1.815,-1.251,1,34,2.322,1.513,310,0,14.78,7.21,15.57,11.18,0
3700,4049.34,3.1,13.97,0.349,-0.722,2.784,-0.679,1,162,2.689,2.32,335,0,18.12,4.57,16.68,15.73,0
