timestamp_ms,mid_price,spread_ticks,order_latency_ms,fill_ratio,imbalance,micro_vol,pnl_ticks,err_inc,cause,mu_norm,sg_norm,success_window_ms,recovered_within_target,gateway_primary_latency_ms,gateway_secondary_latency_ms,queue_depth_primary,queue_depth_secondary,active_primary
0,13300.57,1.24,5.38,0.836,0.127,0.986,-0.396,0,64,0.896,0.822,40,0,3.65,8.2,15.17,7.26,1
100,13300.43,0.76,3.82,0.598,0.124,0.827,-0.875,0,32,0.636,0.689,113,1,2.0,2.91,25.4,13.88,1
200,13299.94,0.65,4.26,0.803,0.146,1.28,-0.538,1,64,0.71,1.067,128,0,2.91,4.26,22.45,2.3,1
300,13299.76,1.12,2.71,0.739,0.303,0.726,-0.009,0,64,0.452,0.605,188,1,2.0,2.57,18.61,1.0,1
400,13300.18,1.09,2.98,0.639,0.147,0.947,-0.512,1,32,0.497,0.789,169,0,3.93,2.5,21.01,5.24,0
500,13300.08,0.97,3.77,0.469,0.425,0.986,-0.127,0,32,0.629,0.822,161,1,2.56,3.32,20.6,17.27,1
600,13299.64,1.16,1.93,0.723,-0.059,0.35,-0.381,0,64,0.322,0.292,260,1,2.0,2.5,17.14,10.48,1
700,13299.73,1.18,3.9,0.557,-0.216,0.859,0.877,0,64,0.651,0.716,123,0,2.0,2.5,19.36,11.13,1
800,13298.79,0.77,4.6,0.631,0.704,0.433,0.002,0,96,0.767,0.361,100,0,5.95,5.57,20.05,17.94,0
900,13299.13,0.92,5.32,0.7,0.359,0.805,0.098,1,32,0.887,0.671,61,1,5.48,9.67,22.91,13.16,1
1000,13299.06,1.27,4.47,0.584,-0.255,1.15,-0.495,0,96,0.745,0.958,201,0,3.66,2.5,12.69,17.76,0
1100,13299.09,0.99,3.62,0.608,0.219,1.566,-0.751,0,32,0.604,1.305,147,1,2.0,3.81,22.63,9.21,1
1200,13298.83,0.89,3.54,0.567,-0.233,0.965,-0.131,0,96,0.59,0.804,40,1,4.15,4.1,19.02,6.76,0
1300,13298.63,0.8,4.16,0.734,0.492,1.094,0.031,1,32,0.694,0.911,78,1,4.32,2.94,19.61,4.23,0
1400,13298.85,0.88,3.74,0.754,0.158,0.471,0.022,0,32,0.624,0.393,176,0,2.0,4.32,24.41,9.84,1
1500,13298.09,0.99,4.55,1.0,-0.088,0.946,0.433,1,32,0.758,0.789,176,1,3.95,3.48,22.56,4.22,0
1600,13297.94,1.25,5.43,0.712,-0.267,1.396,-0.264,0,32,0.905,1.163,124,1,6.74,2.5,19.76,6.32,0
1700,13297.62,0.92,4.09,0.853,-0.126,1.219,0.401,1,32,0.681,1.016,177,0,3.34,3.39,17.77,1.86,1
1800,13297.71,1.18,2.75,0.717,0.046,0.467,-0.525,1,96,0.458,0.389,102,0,2.0,3.39,26.67,11.01,1
1900,13297.37,1.28,4.72,0.724,0.008,0.834,-0.173,0,64,0.786,0.695,168,1,3.82,4.25,19.27,10.15,1
2000,13296.88,1.04,3.62,0.86,-0.357,1.224,0.052,1,96,0.603,1.02,122,0,2.55,5.42,18.25,11.14,1
2100,13296.78,1.02,4.94,0.403,0.424,0.69,-0.184,0,32,0.823,0.575,203,1,4.36,6.4,22.35,13.76,1
2200,13296.9,0.76,3.79,0.555,0.564,1.131,-0.114,0,32,0.632,0.943,139,1,3.6,7.16,22.17,12.16,1
2300,13296.58,1.09,3.99,0.911,-0.266,0.887,-0.536,1,96,0.665,0.739,166,0,2.0,3.79,21.46,11.56,1
2400,13296.18,1.33,2.76,0.757,0.506,0.294,-0.007,0,96,0.46,0.245,40,0,2.0,3.5,17.31,17.32,1
2500,13295.99,0.95,4.94,0.568,-0.095,1.351,-0.252,0,32,0.824,1.126,69,0,3.67,6.67,19.8,10.04,1
2600,13295.4,1.27,3.59,0.789,0.536,1.068,0.183,0,64,0.598,0.89,200,1,2.74,5.55,16.0,4.35,1
2700,13295.26,0.95,4.27,0.78,-0.012,0.718,0.284,1,64,0.711,0.599,173,1,3.88,5.46,25.12,9.68,1
2800,13295.4,0.87,3.64,0.639,-0.039,0.658,0.259,1,32,0.606,0.548,99,1,2.92,4.79,15.86,19.35,1
2900,13295.52,0.87,4.22,0.694,0.324,0.457,-0.284,0,64,0.703,0.381,215,0,4.99,4.71,22.51,24.4,0
3000,13295.42,0.81,4.71,0.452,-0.099,0.536,-0.268,1,96,0.785,0.447,40,0,4.41,3.43,16.57,14.75,0
3100,13295.24,0.82,3.2,0.751,0.061,0.578,-0.151,0,96,0.534,0.482,40,1,2.55,3.65,21.38,3.85,1
3200,13295.53,0.81,3.37,0.773,0.012,0.115,-0.317,1,32,0.561,0.096,115,0,2.0,2.5,15.66,13.29,1
3300,13295.47,1.17,3.71,0.672,0.147,1.002,0.073,0,32,0.618,0.835,190,1,5.1,2.82,11.84,9.8,0
3400,13294.9,1.01,3.24,0.708,0.247,1.461,-0.571,0,32,0.541,1.218,74,0,2.97,4.04,18.8,13.02,1
3500,13295.21,1.19,3.64,0.755,0.131,0.634,-0.394,1,32,0.606,0.529,141,0,2.0,3.11,20.16,8.67,1
3600,13295.78,1.06,1.85,0.728,0.565,1.674,1.067,0,32,0.309,1.395,40,1,2.0,2.5,15.88,3.03,1
3700,13296.04,1.04,2.92,0.698,0.225,1.0,0.487,1,96,0.486,0.833,246,1,2.0,5.23,17.93,1.0,1
3800,13296.29,1.01,4.33,0.82,0.357,0.51,-0.695,0,64,0.722,0.425,113,0,4.88,6.05,20.82,7.23,1
3900,13296.41,1.11,3.71,0.817,0.188,0.509,-0.248,0,96,0.618,0.424,40,0,3.0,2.62,16.94,16.21,0
4000,13296.49,1.51,5.24,0.638,0.562,1.519,-0.47,0,32,0.873,1.266,40,0,4.14,4.74,18.52,14.31,1
4100,13296.53,1.09,2.98,0.623,0.231,0.857,-0.454,1,32,0.497,0.714,46,1,3.83,4.35,24.33,17.31,1
4200,13296.91,1.03,4.97,0.783,0.303,1.704,-0.251,1,64,0.828,1.42,162,1,2.06,4.55,22.47,16.72,1
