timestamp_ms,mid_price,spread_ticks,order_latency_ms,fill_ratio,imbalance,micro_vol,pnl_ticks,err_inc,cause,mu_norm,sg_norm,success_window_ms,recovered_within_target,gateway_primary_latency_ms,gateway_secondary_latency_ms,queue_depth_primary,queue_depth_secondary,active_primary
0,4050.17,1.35,5.75,0.166,-0.309,1.149,-0.25,0,64,0.958,0.958,61,1,8.87,2.78,24.79,5.74,0
100,4050.27,0.98,6.74,0.008,-0.681,1.988,-0.265,0,32,1.124,1.656,176,1,9.67,2.74,17.5,24.72,0
200,4050.04,1.42,5.7,0.49,-0.165,1.968,-0.208,0,32,0.95,1.64,90,0,4.3,7.68,26.69,11.03,1
300,4049.95,1.26,6.25,0.261,-0.982,1.304,-0.065,1,32,1.041,1.087,151,0,7.16,5.98,10.4,4.89,0
400,4050.15,1.13,6.19,0.326,-0.068,1.509,-0.794,2,32,1.031,1.257,183,1,8.39,6.18,17.6,9.43,0
500,4049.79,1.68,5.74,0.185,-0.369,1.434,0.029,0,32,0.957,1.195,96,1,3.47,2.5,13.23,9.26,0
600,4049.92,1.31,6.38,0.019,-0.172,1.116,-0.526,1,32,1.064,0.93,113,0,6.9,5.13,17.73,20.34,0
700,4050.29,0.9,4.83,0.411,-0.388,1.225,-0.117,1,96,0.805,1.021,157,1,7.5,2.5,16.84,15.25,0
800,4050.25,1.49,4.94,0.045,-0.525,1.916,-0.413,0,96,0.823,1.597,170,1,7.76,3.44,17.47,11.3,0
900,4050.09,1.19,6.37,0.482,-0.142,0.879,-0.138,1,32,1.062,0.733,40,0,8.0,4.44,10.54,11.52,0
1000,4050.08,1.32,5.84,0.184,-0.605,1.423,-0.333,0,96,0.973,1.186,40,1,7.55,4.53,16.28,9.38,0
1100,4050.14,1.23,5.88,0.0,-0.154,1.976,0.158,1,32,0.98,1.647,167,1,5.3,4.52,16.93,9.55,0
1200,4050.04,1.22,5.32,0.33,-0.42,1.971,-0.181,0,32,0.887,1.642,81,0,2.82,3.46,15.6,9.84,1
