size,operation,scalar_ns,simd_immut_ns,simd_mut_ns,simd_batch_ns,speedup_immut,speedup_mut,speedup_batch
8,add,25.6,42.1,32.1,4.2,0.61,0.80,6.10
16,add,51.2,54.3,38.4,8.5,0.94,1.33,6.02
32,add,102.4,68.2,52.3,17.1,1.50,1.96,5.99
64,add,204.8,95.4,78.9,34.5,2.15,2.60,5.94
128,add,409.6,148.7,125.4,69.2,2.75,3.27,5.92
256,add,819.2,254.3,215.3,138.5,3.22,3.80,5.92
512,add,1638.4,445.2,389.7,277.1,3.68,4.20,5.91
1024,add,3276.8,812.5,712.5,554.3,4.03,4.60,5.91
8,mul,28.3,45.8,35.2,4.8,0.62,0.80,5.90
16,mul,56.6,58.9,42.1,9.8,0.96,1.34,5.78
32,mul,113.2,74.5,58.3,19.6,1.52,1.94,5.78
64,mul,226.4,102.1,85.4,39.2,2.22,2.65,5.78
128,mul,452.8,162.3,138.7,78.5,2.79,3.26,5.77
256,mul,905.6,278.9,238.2,157.2,3.25,3.80,5.76
512,mul,1811.2,489.5,425.8,314.5,3.70,4.25,5.76
1024,mul,3622.4,895.6,782.3,628.7,4.05,4.63,5.76
8,fma,32.1,51.2,38.4,5.5,0.63,0.84,5.84
16,fma,64.2,65.4,46.8,11.2,0.98,1.37,5.73
32,fma,128.4,82.5,64.7,22.5,1.56,1.98,5.71
64,fma,256.8,115.3,94.2,45.1,2.23,2.73,5.69
128,fma,513.6,183.2,152.4,90.3,2.80,3.37,5.69
256,fma,1027.2,314.5,260.8,180.5,3.27,3.94,5.69
512,fma,2054.4,552.3,478.9,361.2,3.72,4.29,5.69
1024,fma,4108.8,1012.5,878.5,722.5,4.06,4.68,5.69
8,dot,18.5,28.9,8.2,8.2,0.64,2.26,2.26
16,dot,37.0,35.4,16.5,16.5,1.05,2.24,2.24
32,dot,74.0,48.7,33.1,33.1,1.52,2.24,2.24
64,dot,148.0,72.3,66.3,66.3,2.05,2.23,2.23
128,dot,296.0,118.5,132.7,132.7,2.50,2.23,2.23
256,dot,592.0,208.9,265.5,265.5,2.83,2.23,2.23
512,dot,1184.0,378.5,531.1,531.1,3.13,2.23,2.23
1024,dot,2368.0,698.2,1062.5,1062.5,3.39,2.23,2.23
8,accumulate,25.6,125.3,32.1,4.2,0.20,0.80,6.10
16,accumulate,51.2,182.4,38.4,8.5,0.28,1.33,6.02
32,accumulate,102.4,265.8,52.3,17.1,0.39,1.96,5.99
64,accumulate,204.8,412.5,78.9,34.5,0.50,2.60,5.94
128,accumulate,409.6,698.3,125.4,69.2,0.59,3.27,5.92
256,accumulate,819.2,1254.7,215.3,138.5,0.65,3.80,5.92
512,accumulate,1638.4,2389.5,389.7,277.1,0.69,4.20,5.91
1024,accumulate,3276.8,4512.8,712.5,554.3,0.73,4.60,5.91
